player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
Lit2,3jIWLYiXzx,2025-12-22T15:27:55.932Z,2025-12-22T15:35:22.362Z,75975,0,0,-75975
Lit,thyyJUIpI9,2025-12-22T15:07:29.648Z,2025-12-22T15:27:26.114Z,100000,75975,0,-24025
Sh,Ek559oOV8c,2025-12-22T15:00:28.237Z,2025-12-22T15:02:43.632Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-22T14:26:48.159Z,,100000,,282760,182760
Blaxk,eLlYR19TDN,2025-12-22T12:31:34.225Z,,350000,,425450,75450
Lit,thyyJUIpI9,2025-12-22T12:29:43.244Z,2025-12-22T15:06:00.710Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-22T12:24:16.073Z,2025-12-22T14:26:18.974Z,50000,0,0,-50000
zxc2,cIaXP7lyE_,2025-12-22T11:56:55.664Z,,100000,,114940,14940
Blaxk,eLlYR19TDN,2025-12-22T11:09:15.162Z,2025-12-22T12:26:39.046Z,25000,0,0,-25000
jho,t3NhL8TnYz,2025-12-22T10:50:46.294Z,,50000,,392250,342250
9292,xswHkyUXqL,2025-12-22T06:33:05.888Z,2025-12-22T12:23:47.333Z,50000,0,0,-50000
Blaxk,eLlYR19TDN,2025-12-22T06:23:00.376Z,2025-12-22T11:08:59.061Z,50000,0,0,-50000
zxc,uaMcxyz0Rj,2025-12-22T06:07:24.838Z,2025-12-22T11:56:55.660Z,50000,59600,0,9600
Sh,Ek559oOV8c,2025-12-22T05:44:01.567Z,2025-12-22T14:58:47.377Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-22T05:44:01.562Z,2025-12-22T06:32:29.057Z,50000,0,0,-50000
