player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
zxc2,cIaXP7lyE_,,,362700,,362700,0
9292,xswHkyUXqL,,,300000,,300000,0
9292,xswHkyUXqL,2025-12-29T09:01:41.662Z,2025-12-29T09:44:34.396Z,250000,0,0,-250000
zxc,uaMcxyz0Rj,2025-12-29T08:35:52.592Z,2025-12-29T13:30:21.021Z,200000,362700,0,162700
9292,xswHkyUXqL,2025-12-29T08:33:57.826Z,2025-12-29T08:59:48.220Z,150000,0,0,-150000
jho,t3NhL8TnYz,2025-12-29T08:19:35.160Z,,150000,,321175,171175
jho,t3NhL8TnYz,2025-12-29T07:56:07.799Z,2025-12-29T08:19:08.619Z,100000,0,0,-100000
LIT,thyyJUIpI9,2025-12-29T07:47:17.909Z,,50000,,366125,316125
jho,t3NhL8TnYz,2025-12-29T07:47:17.915Z,2025-12-29T07:55:54.437Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-29T07:47:17.903Z,2025-12-29T08:33:52.618Z,100000,0,0,-100000
