player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
Dwan,thyyJUIpI9,2025-12-18T10:31:01.923Z,,200000,,134175,-65825
Dwan,thyyJUIpI9,2025-12-18T08:59:40.776Z,2025-12-18T10:30:12.553Z,200000,0,0,-200000
jho,t3NhL8TnYz,2025-12-18T08:56:35.785Z,,100000,,370925,270925
블몬,eLlYR19TDN,2025-12-18T08:07:51.888Z,,280600,,156400,-124200
Dwan,thyyJUIpI9,2025-12-18T08:02:16.817Z,2025-12-18T08:59:04.969Z,100000,0,0,-100000
BM,P2jS_dvDyj,2025-12-18T07:36:16.477Z,2025-12-18T08:07:51.882Z,200000,180600,0,-19400
zxc,uaMcxyz0Rj,2025-12-18T05:22:46.241Z,,150000,,257850,107850
zxc,uaMcxyz0Rj,2025-12-18T05:12:17.185Z,2025-12-18T05:22:36.595Z,50000,0,0,-50000
BM,P2jS_dvDyj,2025-12-18T04:43:35.808Z,2025-12-18T07:35:55.452Z,100000,0,0,-100000
BM,P2jS_dvDyj,2025-12-18T04:25:19.081Z,2025-12-18T04:43:28.292Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-18T04:18:01.823Z,,50000,,430650,380650
BM,P2jS_dvDyj,2025-12-18T04:18:01.817Z,2025-12-18T04:24:55.839Z,50000,0,0,-50000
