player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
Justin,g0FfVCh6gI,2025-12-30T17:08:21.350Z,,500000,,1027739,527739
Z9z9,xswHkyUXqL,2025-12-30T15:53:06.191Z,,400000,,1324650,924650
Justin,g0FfVCh6gI,2025-12-30T15:01:33.452Z,2025-12-30T17:05:52.565Z,500000,0,0,-500000
Justin,g0FfVCh6gI,2025-12-30T14:05:39.325Z,2025-12-30T15:01:05.827Z,200000,0,0,-200000
jho,t3NhL8TnYz,2025-12-30T13:02:48.956Z,2025-12-30T16:32:43.565Z,200000,700478,0,500478
Z9z9,xswHkyUXqL,2025-12-30T12:37:33.475Z,2025-12-30T15:52:13.785Z,200000,0,0,-200000
jho,t3NhL8TnYz,2025-12-30T12:26:45.545Z,2025-12-30T12:28:59.337Z,200000,0,0,-200000
Black,eLlYR19TDN,2025-12-30T10:44:03.268Z,,300000,,596613,296613
zxc2,cIaXP7lyE_,2025-12-30T10:21:55.099Z,,836100,,181273,-654827
LIT2,Mw0SATaN53,2025-12-30T09:03:43.104Z,,183900,,740047,556147
jho,t3NhL8TnYz,2025-12-30T08:46:11.362Z,2025-12-30T12:26:34.173Z,200000,0,0,-200000
Justin,g0FfVCh6gI,2025-12-30T04:43:32.091Z,2025-12-30T09:10:50.816Z,100000,0,0,-100000
9917,Ek559oOV8c,2025-12-30T04:33:26.729Z,2025-12-30T13:20:27.927Z,420500,0,0,-420500
9917,xpbZinNQx9,2025-12-30T03:58:10.624Z,2025-12-30T04:12:10.929Z,217600,202900,0,-14700
LIT,3jIWLYiXzx,2025-12-30T03:49:07.985Z,2025-12-30T09:03:23.487Z,100000,183900,0,83900
zxc,uaMcxyz0Rj,2025-12-30T03:41:18.189Z,2025-12-30T10:23:52.773Z,150000,334300,0,184300
Justin,g0FfVCh6gI,2025-12-30T03:41:18.187Z,2025-12-30T04:41:52.541Z,150000,0,0,-150000
9917,xpbZinNQx9,2025-12-30T03:35:54.978Z,2025-12-30T03:56:07.271Z,100000,217600,0,117600
Justin,g0FfVCh6gI,2025-12-30T03:35:28.811Z,2025-12-30T03:39:03.327Z,50000,0,0,-50000
Justin,uhEB5tfxOo,2025-12-30T03:33:15.764Z,2025-12-30T03:34:11.625Z,50000,48600,0,-1400
zxc,uaMcxyz0Rj,2025-12-30T03:19:48.603Z,2025-12-30T03:39:03.321Z,50000,0,0,-50000
Z9z9,xswHkyUXqL,2025-12-30T03:06:18.321Z,2025-12-30T12:36:36.851Z,150000,0,0,-150000
LIT,3jIWLYiXzx,2025-12-30T03:03:27.765Z,2025-12-30T03:41:18.182Z,50000,0,0,-50000
9917,xpbZinNQx9,2025-12-30T02:57:57.350Z,2025-12-30T03:35:28.806Z,99400,0,0,-99400
9917,Ek559oOV8c,2025-12-30T02:53:07.864Z,2025-12-30T02:56:24.435Z,100000,99400,0,-600
Z9z9,xswHkyUXqL,2025-12-30T02:48:07.957Z,2025-12-30T03:05:23.335Z,50000,0,0,-50000
Black,eLlYR19TDN,2025-12-30T02:48:07.954Z,2025-12-30T10:43:34.388Z,100000,0,0,-100000
