player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
lit,Mw0SATaN53,2025-12-26T16:46:06.256Z,,690237,,838618,148381
Black,eLlYR19TDN,2025-12-26T15:18:17.739Z,,611175,,450000,-161175
9292,xswHkyUXqL,2025-12-26T15:13:17.952Z,,600000,,1308313,708313
black,e2LT3dd3Tx,2025-12-26T14:55:55.578Z,2025-12-26T15:18:17.735Z,707625,611175,0,-96450
Sh,Ek559oOV8c,2025-12-26T14:36:34.883Z,2025-12-26T15:06:57.102Z,298000,0,0,-298000
Justin,g0FfVCh6gI,2025-12-26T14:26:17.315Z,2025-12-26T17:04:07.256Z,400000,0,0,-400000
9292,xswHkyUXqL,2025-12-26T14:24:48.620Z,2025-12-26T15:12:46.127Z,300000,0,0,-300000
Sh,Ek559oOV8c,2025-12-26T13:57:08.144Z,2025-12-26T14:33:50.511Z,100000,298000,0,198000
Sh,Ek559oOV8c,2025-12-26T13:50:38.868Z,2025-12-26T13:56:51.370Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-26T09:32:04.634Z,2025-12-26T14:22:32.293Z,900000,0,0,-900000
9292,xswHkyUXqL,2025-12-26T08:58:49.661Z,2025-12-26T09:30:59.594Z,600000,0,0,-600000
Lit2,3jIWLYiXzx,2025-12-26T08:53:49.529Z,2025-12-26T16:46:06.251Z,200000,690237,0,490237
9292,xswHkyUXqL,2025-12-26T06:34:42.609Z,2025-12-26T08:58:11.650Z,600000,0,0,-600000
zxc2,uaMcxyz0Rj,2025-12-26T06:11:17.824Z,,285850,,1041125,755275
9292,xswHkyUXqL,2025-12-26T05:12:25.341Z,2025-12-26T06:33:53.511Z,600000,0,0,-600000
zxc,cIaXP7lyE_,2025-12-26T05:09:36.618Z,2025-12-26T06:09:16.112Z,200000,285850,0,85850
Lit2,3jIWLYiXzx,2025-12-26T04:40:27.217Z,2025-12-26T08:52:23.775Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-26T04:38:19.254Z,2025-12-26T05:11:59.106Z,150000,0,0,-150000
Lit,thyyJUIpI9,2025-12-26T04:19:09.010Z,2025-12-26T04:25:23.491Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-26T04:18:34.228Z,2025-12-26T04:36:50.054Z,150000,0,0,-150000
sh,q21UtMebOx,2025-12-26T04:11:56.550Z,2025-12-26T05:45:00.279Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-26T04:07:08.280Z,2025-12-26T04:17:28.795Z,150000,0,0,-150000
Lit,thyyJUIpI9,2025-12-26T03:52:23.457Z,2025-12-26T04:17:28.790Z,100000,0,0,-100000
Lit,thyyJUIpI9,2025-12-26T03:45:32.697Z,2025-12-26T03:50:58.587Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-26T03:44:34.135Z,2025-12-26T04:04:56.244Z,50000,0,0,-50000
zxc,cIaXP7lyE_,2025-12-26T03:40:26.749Z,2025-12-26T04:44:26.352Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-26T03:39:55.929Z,2025-12-26T03:44:27.142Z,50000,0,0,-50000
jho,t3NhL8TnYz,2025-12-26T03:37:00.459Z,,50000,,2111944,2061944
Lit,thyyJUIpI9,2025-12-26T03:32:58.469Z,2025-12-26T03:44:27.138Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-26T03:30:27.283Z,2025-12-26T03:38:50.038Z,50000,0,0,-50000
Black,eLlYR19TDN,2025-12-26T03:30:27.280Z,2025-12-26T14:55:22.750Z,50000,707625,0,657625
