player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
9292,exrnYGgrmM,2025-12-16T16:28:58.431Z,,100000,,317700,217700
Bm,eLlYR19TDN,2025-12-16T16:21:30.378Z,2025-12-16T17:09:12.524Z,143500,0,0,-143500
Bm,eLlYR19TDN,2025-12-16T16:09:11.861Z,2025-12-16T16:19:25.900Z,100000,142350,0,42350
9292,exrnYGgrmM,2025-12-16T15:59:40.919Z,2025-12-16T16:28:45.669Z,100000,0,0,-100000
zxc,uaMcxyz0Rj,2025-12-16T15:43:42.272Z,,50000,,240000,190000
jho,t3NhL8TnYz,2025-12-16T15:31:43.478Z,2025-12-16T16:02:17.463Z,100000,143450,0,43450
Bm,eLlYR19TDN,2025-12-16T15:21:53.502Z,2025-12-16T16:06:29.644Z,100000,0,0,-100000
9292,exrnYGgrmM,2025-12-16T15:14:36.162Z,2025-12-16T15:57:40.091Z,50000,0,0,-50000
Bm,eLlYR19TDN,2025-12-16T15:10:53.011Z,2025-12-16T15:21:36.023Z,559000,509000,0,-50000
9292,exrnYGgrmM,2025-12-16T15:10:53.014Z,2025-12-16T15:14:06.895Z,50000,0,0,-50000
