player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
Black,eLlYR19TDN,2026-01-03T19:31:44.060Z,,1514573,,1482673,-31900
9292,xswHkyUXqL,2026-01-03T19:21:41.462Z,,1000000,,1337100,337100
Z9Z9,xswHkyUXqL,2026-01-03T18:27:23.733Z,2026-01-03T19:20:58.393Z,1000000,0,0,-1000000
Z9Z9,xswHkyUXqL,2026-01-03T18:19:56.244Z,2026-01-03T18:26:07.745Z,400000,0,0,-400000
Justin,g0FfVCh6gI,2026-01-03T15:44:20.452Z,,500000,,982988,482988
Justin,g0FfVCh6gI,2026-01-03T14:59:25.107Z,2026-01-03T15:43:42.460Z,300000,0,0,-300000
Z9Z9,xswHkyUXqL,2026-01-03T14:49:09.254Z,2026-01-03T18:19:43.737Z,600000,0,0,-600000
Z9Z9,xswHkyUXqL,2026-01-03T14:46:04.956Z,2026-01-03T14:48:47.598Z,200000,0,0,-200000
Justin,g0FfVCh6gI,2026-01-03T14:37:34.417Z,2026-01-03T14:57:09.184Z,200000,0,0,-200000
Z9Z9,xswHkyUXqL,2026-01-03T13:55:17.613Z,2026-01-03T14:44:44.757Z,200000,0,0,-200000
jho,t3NhL8TnYz,2026-01-03T13:43:49.189Z,,200000,,2205939,2005939
Z9Z9,xswHkyUXqL,2026-01-03T13:42:53.110Z,2026-01-03T13:55:08.755Z,100000,0,0,-100000
Z9Z9,xswHkyUXqL,2026-01-03T13:38:09.233Z,2026-01-03T13:42:29.296Z,50000,0,0,-50000
black,e2LT3dd3Tx,2026-01-03T13:10:02.769Z,2026-01-03T19:31:44.055Z,1150000,1514573,0,364573
black,e2LT3dd3Tx,2026-01-03T12:21:21.619Z,2026-01-03T13:09:44.450Z,285800,0,0,-285800
Black,eLlYR19TDN,2026-01-03T11:54:05.681Z,2026-01-03T12:21:21.613Z,315950,285800,0,-30150
black,e2LT3dd3Tx,2026-01-03T11:18:55.284Z,2026-01-03T11:55:42.654Z,300000,315950,0,15950
zxc,uaMcxyz0Rj,2026-01-03T11:12:56.433Z,,150000,,461175,311175
black,e2LT3dd3Tx,2026-01-03T10:41:13.961Z,2026-01-03T11:18:12.840Z,200000,0,0,-200000
black,e2LT3dd3Tx,2026-01-03T10:24:34.685Z,2026-01-03T10:40:42.377Z,50000,0,0,-50000
Z9Z9,xswHkyUXqL,2026-01-03T10:23:43.347Z,2026-01-03T13:37:54.407Z,50000,0,0,-50000
zxc,uaMcxyz0Rj,2026-01-03T10:09:50.193Z,2026-01-03T10:32:57.181Z,50000,0,0,-50000
black,e2LT3dd3Tx,2026-01-03T10:09:50.191Z,2026-01-03T10:24:28.033Z,50000,0,0,-50000
LIT,Mw0SATaN53,2026-01-03T10:09:50.187Z,,50000,,330125,280125
