player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
zxc2,HwYscE0DK2,2025-12-17T17:28:45.279Z,,200000,,41100,-158900
zxc,uaMcxyz0Rj,2025-12-17T17:13:54.225Z,,200000,,87650,-112350
Sh,Ek559oOV8c,2025-12-17T16:27:45.555Z,2025-12-17T17:42:32.112Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-17T16:13:04.984Z,,300000,,1073406,773406
9292,xswHkyUXqL,2025-12-17T16:02:26.072Z,2025-12-17T16:12:13.774Z,200000,0,0,-200000
9292,xswHkyUXqL,2025-12-17T15:52:06.418Z,2025-12-17T16:01:26.352Z,200000,0,0,-200000
zxc,uaMcxyz0Rj,2025-12-17T15:12:26.542Z,2025-12-17T17:11:26.029Z,350000,0,0,-350000
드완,Mw0SATaN53,2025-12-17T14:47:55.756Z,2025-12-17T17:06:04.518Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-17T14:44:28.416Z,2025-12-17T15:51:37.250Z,150000,0,0,-150000
9292,xswHkyUXqL,2025-12-17T14:39:34.541Z,2025-12-17T14:43:58.285Z,50000,0,0,-50000
jho,t3NhL8TnYz,2025-12-17T14:31:03.093Z,2025-12-17T16:32:02.992Z,150000,943594,0,793594
BM,eLlYR19TDN,2025-12-17T14:27:48.857Z,,50000,,104250,54250
BM,eLlYR19TDN,2025-12-17T14:25:12.832Z,2025-12-17T14:26:50.852Z,50000,0,0,-50000
jho,t3NhL8TnYz,2025-12-17T14:25:12.834Z,2025-12-17T14:30:39.776Z,50000,0,0,-50000
Sh,Ek559oOV8c,2025-12-17T14:25:12.824Z,2025-12-17T16:26:51.354Z,50000,0,0,-50000
zxc,uaMcxyz0Rj,2025-12-17T14:25:12.828Z,2025-12-17T15:11:47.098Z,50000,0,0,-50000
