player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
블몬,eLlYR19TDN,2026-01-05T14:13:53.029Z,,800000,,405038,-394962
블몬,eLlYR19TDN,2026-01-05T12:25:31.778Z,2026-01-05T14:13:22.886Z,200000,0,0,-200000
블몬,eLlYR19TDN,2026-01-05T12:23:00.831Z,2026-01-05T12:24:47.679Z,150000,0,0,-150000
Justin,g0FfVCh6gI,2026-01-05T12:11:37.191Z,,200000,,903848,703848
9917,Ek559oOV8c,2026-01-05T11:07:38.238Z,2026-01-05T11:43:56.235Z,200000,0,0,-200000
블몬,eLlYR19TDN,2026-01-05T10:58:07.739Z,2026-01-05T12:22:52.595Z,100000,0,0,-100000
Justin,g0FfVCh6gI,2026-01-05T10:57:34.627Z,2026-01-05T12:11:09.345Z,100000,0,0,-100000
9917,Ek559oOV8c,2026-01-05T10:48:54.604Z,2026-01-05T11:06:46.479Z,100000,0,0,-100000
Justin,g0FfVCh6gI,2026-01-05T10:46:11.625Z,2026-01-05T10:56:28.979Z,100000,0,0,-100000
zxc,u341hEhZ9E,2026-01-05T10:44:14.850Z,2026-01-05T13:39:16.854Z,500000,0,0,-500000
jho,t3NhL8TnYz,2026-01-05T10:34:18.321Z,,200000,,1010957,810957
zxc,u341hEhZ9E,2026-01-05T10:34:18.319Z,2026-01-05T10:42:44.618Z,100000,0,0,-100000
9917,Ek559oOV8c,2026-01-05T10:31:44.130Z,2026-01-05T10:45:20.596Z,100000,0,0,-100000
zxc,u341hEhZ9E,2026-01-05T10:21:19.009Z,2026-01-05T10:33:01.533Z,50000,0,0,-50000
jho,t3NhL8TnYz,2026-01-05T10:21:19.003Z,2026-01-05T10:33:51.448Z,50000,0,0,-50000
LIT,Mw0SATaN53,2026-01-05T10:21:19.012Z,,50000,,730157,680157
블몬,eLlYR19TDN,2026-01-05T10:21:18.997Z,2026-01-05T10:57:34.623Z,50000,0,0,-50000
