player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
Lit,thyyJUIpI9,2025-12-21T15:35:47.709Z,,400000,,99800,-300200
BLACK,e2LT3dd3Tx,2025-12-21T14:26:16.253Z,,50000,,103100,53100
zxc2,uaMcxyz0Rj,2025-12-21T14:23:53.740Z,,100000,,781025,681025
zxc2,uaMcxyz0Rj,2025-12-21T14:06:07.497Z,2025-12-21T14:16:54.873Z,100000,0,0,-100000
jho,t3NhL8TnYz,2025-12-21T13:51:54.500Z,2025-12-21T17:14:39.182Z,300000,0,0,-300000
Lit,thyyJUIpI9,2025-12-21T13:04:28.366Z,2025-12-21T15:34:58.752Z,120000,0,0,-120000
Lit,thyyJUIpI9,2025-12-21T12:10:42.653Z,2025-12-21T13:03:34.346Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-21T11:49:47.502Z,,100000,,566075,466075
9292,xswHkyUXqL,2025-12-21T11:29:06.669Z,2025-12-21T11:48:19.821Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-21T11:19:12.757Z,2025-12-21T11:28:56.188Z,50000,0,0,-50000
BLACK,e2LT3dd3Tx,2025-12-21T11:14:58.376Z,2025-12-21T14:25:19.926Z,50000,0,0,-50000
Lit,thyyJUIpI9,2025-12-21T11:03:57.081Z,2025-12-21T12:10:04.428Z,80000,0,0,-80000
zxc,cIaXP7lyE_,2025-12-21T11:03:57.079Z,2025-12-21T13:29:23.034Z,50000,0,0,-50000
