player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
9292,xswHkyUXqL,2025-12-27T18:40:25.772Z,2025-12-27T19:36:37.774Z,400000,0,0,-400000
Justin,g0FfVCh6gI,2025-12-27T16:47:24.874Z,2025-12-27T17:13:05.398Z,200000,0,0,-200000
jho,t3NhL8TnYz,2025-12-27T16:39:58.776Z,,200000,,1101500,901500
lit,Mw0SATaN53,2025-12-27T15:11:46.793Z,2025-12-27T16:19:59.270Z,169200,0,0,-169200
zxc,u341hEhZ9E,2025-12-27T14:50:07.079Z,,1114950,,1715150,600200
Justin,g0FfVCh6gI,2025-12-27T14:34:24.402Z,2025-12-27T16:45:54.737Z,600000,0,0,-600000
Lit2,3jIWLYiXzx,2025-12-27T14:29:53.240Z,2025-12-27T15:11:46.789Z,100000,169200,0,69200
Justin,g0FfVCh6gI,2025-12-27T14:27:36.239Z,2025-12-27T14:33:53.019Z,200000,0,0,-200000
jho,t3NhL8TnYz,2025-12-27T14:24:07.659Z,2025-12-27T16:36:41.514Z,400000,0,0,-400000
zxc2,uaMcxyz0Rj,2025-12-27T08:57:07.859Z,2025-12-27T14:50:07.075Z,676075,614950,0,-61125
Sh,Ek559oOV8c,2025-12-27T08:36:00.296Z,2025-12-27T08:54:37.651Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-27T08:32:47.076Z,2025-12-27T18:40:13.005Z,500000,0,0,-500000
jho,t3NhL8TnYz,2025-12-27T07:57:48.319Z,2025-12-27T09:35:37.219Z,250000,0,0,-250000
black,e2LT3dd3Tx,2025-12-27T07:51:16.918Z,,200000,,1683350,1483350
9292,xswHkyUXqL,2025-12-27T07:52:04.048Z,2025-12-27T08:32:06.710Z,100000,0,0,-100000
Lit2,3jIWLYiXzx,2025-12-27T07:47:34.705Z,2025-12-27T08:55:56.097Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-27T07:47:34.703Z,2025-12-27T07:50:51.684Z,100000,0,0,-100000
Sh,Ek559oOV8c,2025-12-27T07:47:34.700Z,2025-12-27T08:34:27.583Z,100000,0,0,-100000
jho,t3NhL8TnYz,2025-12-27T07:35:28.137Z,2025-12-27T07:56:29.142Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-27T07:34:37.850Z,2025-12-27T07:46:51.055Z,50000,0,0,-50000
jho,t3NhL8TnYz,2025-12-27T07:25:13.027Z,2025-12-27T07:34:37.846Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-27T07:21:52.096Z,2025-12-27T07:33:30.177Z,50000,0,0,-50000
black,e2LT3dd3Tx,2025-12-27T07:11:40.530Z,2025-12-27T07:50:51.680Z,50000,0,0,-50000
Lit,thyyJUIpI9,2025-12-27T06:59:30.803Z,2025-12-27T07:07:33.663Z,50000,0,0,-50000
Lit,thyyJUIpI9,2025-12-27T06:57:39.559Z,2025-12-27T06:59:25.829Z,50000,0,0,-50000
black,e2LT3dd3Tx,2025-12-27T06:57:07.928Z,2025-12-27T07:11:24.838Z,50000,0,0,-50000
zxc,u341hEhZ9E,2025-12-27T06:57:07.925Z,2025-12-27T08:56:38.478Z,50000,676075,0,626075
