player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
Black,eLlYR19TDN,2025-12-24T19:10:36.634Z,2025-12-24T19:52:57.323Z,560825,756275,0,195450
zxc,uaMcxyz0Rj,2025-12-24T19:09:09.506Z,2025-12-24T21:57:53.914Z,150000,0,0,-150000
jho,t3NhL8TnYz,2025-12-24T18:33:36.556Z,2025-12-24T22:29:09.923Z,500000,0,0,-500000
zxc,uaMcxyz0Rj,2025-12-24T17:19:12.157Z,2025-12-24T18:31:49.613Z,150000,0,0,-150000
zxc,uaMcxyz0Rj,2025-12-24T17:06:46.817Z,2025-12-24T17:18:41.835Z,100000,0,0,-100000
Lit,thyyJUIpI9,2025-12-24T16:50:04.564Z,,150000,,669500,519500
9292,xswHkyUXqL,2025-12-24T16:32:39.641Z,,650000,,1074225,424225
9292,xswHkyUXqL,2025-12-24T16:26:05.057Z,2025-12-24T16:31:37.045Z,150000,0,0,-150000
Lit,thyyJUIpI9,2025-12-24T16:25:00.545Z,2025-12-24T16:49:03.251Z,100000,0,0,-100000
zxc,uaMcxyz0Rj,2025-12-24T13:54:03.970Z,2025-12-24T17:05:02.898Z,50000,0,0,-50000
zxc,uaMcxyz0Rj,2025-12-24T13:51:42.534Z,2025-12-24T13:53:20.892Z,50000,0,0,-50000
black,e2LT3dd3Tx,2025-12-24T13:32:48.428Z,2025-12-24T19:09:51.837Z,100000,560825,0,460825
Sh,Ek559oOV8c,2025-12-24T13:16:21.381Z,2025-12-24T13:40:27.222Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-24T13:05:31.272Z,2025-12-24T16:25:00.541Z,100000,50000,0,-50000
Sh,Ek559oOV8c,2025-12-24T12:58:44.202Z,2025-12-24T13:15:53.256Z,50000,0,0,-50000
Lit,thyyJUIpI9,2025-12-24T12:55:15.027Z,2025-12-24T16:23:42.800Z,50000,0,0,-50000
black,e2LT3dd3Tx,2025-12-24T12:28:32.293Z,2025-12-24T13:32:13.889Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-24T12:28:32.290Z,2025-12-24T13:04:17.825Z,50000,0,0,-50000
