player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
92929,f_ZuasHCJZ,2025-12-28T17:08:22.627Z,,1178295,,768531,-409764
zxc2,u341hEhZ9E,2025-12-28T16:10:37.036Z,,581730,,1185978,604248
Justin,g0FfVCh6gI,2025-12-28T16:08:29.934Z,2025-12-28T17:22:35.083Z,200000,0,0,-200000
Justin,g0FfVCh6gI,2025-12-28T16:01:42.731Z,2025-12-28T16:07:38.210Z,250000,0,0,-250000
jho,t3NhL8TnYz,2025-12-28T15:17:57.087Z,,300000,,1000100,700100
jho,t3NhL8TnYz,2025-12-28T14:40:29.757Z,2025-12-28T15:17:03.197Z,400000,0,0,-400000
Black,eLlYR19TDN,2025-12-28T14:34:11.973Z,,600000,,545391,-54609
jho,t3NhL8TnYz,2025-12-28T13:52:11.187Z,2025-12-28T14:33:12.755Z,200000,0,0,-200000
LIT,Mw0SATaN53,2025-12-28T13:38:37.002Z,,584900,,1000000,415100
jho,t3NhL8TnYz,2025-12-28T13:31:34.942Z,2025-12-28T13:51:18.808Z,250000,0,0,-250000
9292,xswHkyUXqL,2025-12-28T10:59:43.734Z,2025-12-28T17:08:22.620Z,300000,1178295,0,878295
Black,eLlYR19TDN,2025-12-28T10:56:23.083Z,2025-12-28T14:33:12.741Z,300000,0,0,-300000
Sh,Ek559oOV8c,2025-12-28T10:30:58.604Z,2025-12-28T11:03:10.857Z,100000,0,0,-100000
zxc,uaMcxyz0Rj,2025-12-28T10:26:27.918Z,2025-12-28T16:10:37.030Z,500000,281730,0,-218270
9292,xswHkyUXqL,2025-12-28T08:31:44.216Z,2025-12-28T10:58:54.355Z,100000,0,0,-100000
LIT2,3jIWLYiXzx,2025-12-28T08:22:27.879Z,2025-12-28T13:36:35.665Z,273300,584900,0,311600
Black,eLlYR19TDN,2025-12-28T08:07:06.671Z,2025-12-28T10:55:56.083Z,165050,0,0,-165050
9292,xswHkyUXqL,2025-12-28T07:47:15.867Z,2025-12-28T08:31:07.564Z,150000,0,0,-150000
black,LEYWZ_6-T9,2025-12-28T07:38:44.754Z,2025-12-28T08:06:30.916Z,45400,165050,0,119650
9292,xswHkyUXqL,2025-12-28T07:32:07.179Z,2025-12-28T07:46:04.551Z,100000,0,0,-100000
9292,xswHkyUXqL,2025-12-28T07:23:34.576Z,2025-12-28T07:30:33.085Z,50000,0,0,-50000
9292,xswHkyUXqL,2025-12-28T07:20:53.039Z,2025-12-28T07:23:11.958Z,50000,0,0,-50000
Justin,g0FfVCh6gI,2025-12-28T07:10:43.851Z,2025-12-28T16:00:16.117Z,50000,0,0,-50000
Black,eLlYR19TDN,2025-12-28T07:09:52.431Z,2025-12-28T07:38:04.424Z,50000,45400,0,-4600
9292,xswHkyUXqL,2025-12-28T07:05:28.856Z,2025-12-28T07:20:41.923Z,50000,0,0,-50000
jho,t3NhL8TnYz,2025-12-28T07:05:28.852Z,2025-12-28T13:31:09.381Z,150000,0,0,-150000
LIT,Mw0SATaN53,2025-12-28T07:05:28.846Z,2025-12-28T08:19:15.357Z,50000,273300,0,223300
