entry,at,order
"The player ""9292 @ xswHkyUXqL"" stand up with the stack of 1337100.",2026-01-03T20:00:05.123Z,176747040512300
"The player ""Justin @ g0FfVCh6gI"" stand up with the stack of 982988.",2026-01-03T19:59:49.627Z,176747038962700
"-- ending hand #1063 --",2026-01-03T19:59:46.621Z,176747038662103
"""Justin @ g0FfVCh6gI"" collected 4800 from pot with Two Pair, 8's & 2's (combination: 8♠, 8♦, 2♦, 2♠, Q♥)",2026-01-03T19:59:46.621Z,176747038662102
"""Justin @ g0FfVCh6gI"" shows a 4♠, 8♠.",2026-01-03T19:59:46.621Z,176747038662101
"""9292 @ xswHkyUXqL"" shows a 6♠, 4♣.",2026-01-03T19:59:46.621Z,176747038662100
"""9292 @ xswHkyUXqL"" checks",2026-01-03T19:59:45.743Z,176747038574300
"""Justin @ g0FfVCh6gI"" checks",2026-01-03T19:59:39.109Z,176747037910901
"River: 2♦, 10♣, 2♠, 8♦ [Q♥]",2026-01-03T19:59:39.109Z,176747037910900
"""9292 @ xswHkyUXqL"" checks",2026-01-03T19:59:38.279Z,176747037827900
"""Justin @ g0FfVCh6gI"" checks",2026-01-03T19:59:31.831Z,176747037183101
"Turn: 2♦, 10♣, 2♠ [8♦]",2026-01-03T19:59:31.831Z,176747037183100
"""9292 @ xswHkyUXqL"" checks",2026-01-03T19:59:31.008Z,176747037100800
"""Justin @ g0FfVCh6gI"" checks",2026-01-03T19:59:25.350Z,176747036535000
"Flop:  [2♦, 10♣, 2♠]",2026-01-03T19:59:22.377Z,176747036237700
"""Justin @ g0FfVCh6gI"" calls 2400",2026-01-03T19:59:21.561Z,176747036156100
"""9292 @ xswHkyUXqL"" raises to 2400",2026-01-03T19:59:19.938Z,176747035993800
"""Justin @ g0FfVCh6gI"" posts a big blind of 800",2026-01-03T19:59:09.785Z,176747034978507
"""9292 @ xswHkyUXqL"" posts a small blind of 400",2026-01-03T19:59:09.785Z,176747034978506
"Player stacks: #3 ""Justin @ g0FfVCh6gI"" (980588) | #10 ""9292 @ xswHkyUXqL"" (1339500)",2026-01-03T19:59:09.785Z,176747034978503
"-- starting hand #1063 (id: mahqy0b1xtf3)  (No Limit Texas Hold'em) (dealer: ""9292 @ xswHkyUXqL"") --",2026-01-03T19:59:09.785Z,176747034978502
"The player ""Black @ eLlYR19TDN"" stand up with the stack of 1482673.",2026-01-03T19:59:09.785Z,176747034978501
"The player ""jho @ t3NhL8TnYz"" stand up with the stack of 2205939.",2026-01-03T19:59:09.785Z,176747034978500
"-- ending hand #1062 --",2026-01-03T19:59:03.882Z,176747034388202
"""Justin @ g0FfVCh6gI"" collected 2000 from pot",2026-01-03T19:59:03.882Z,176747034388201
"Uncalled bet of 2000 returned to ""Justin @ g0FfVCh6gI""",2026-01-03T19:59:03.882Z,176747034388200
"""9292 @ xswHkyUXqL"" folds",2026-01-03T19:59:03.075Z,176747034307500
"""Black @ eLlYR19TDN"" folds",2026-01-03T19:58:48.218Z,176747032821800
"""jho @ t3NhL8TnYz"" folds",2026-01-03T19:58:47.351Z,176747032735100
"""Justin @ g0FfVCh6gI"" raises to 2800",2026-01-03T19:58:46.288Z,176747032628800
"""9292 @ xswHkyUXqL"" posts a big blind of 800",2026-01-03T19:58:41.414Z,176747032141407
"""Black @ eLlYR19TDN"" posts a small blind of 400",2026-01-03T19:58:41.414Z,176747032141406
"Your hand is 10♠, 4♦",2026-01-03T19:58:41.414Z,176747032141403
"Player stacks: #3 ""Justin @ g0FfVCh6gI"" (979388) | #7 ""jho @ t3NhL8TnYz"" (2205939) | #9 ""Black @ eLlYR19TDN"" (1483073) | #10 ""9292 @ xswHkyUXqL"" (1340300)",2026-01-03T19:58:41.414Z,176747032141401
"-- starting hand #1062 (id: ltsex3tmec5y)  (No Limit Texas Hold'em) (dealer: ""jho @ t3NhL8TnYz"") --",2026-01-03T19:58:41.414Z,176747032141400
"-- ending hand #1061 --",2026-01-03T19:58:38.456Z,176747031845602
"""jho @ t3NhL8TnYz"" collected 16800 from pot",2026-01-03T19:58:38.456Z,176747031845601
"Uncalled bet of 12600 returned to ""jho @ t3NhL8TnYz""",2026-01-03T19:58:38.456Z,176747031845600
"""9292 @ xswHkyUXqL"" folds",2026-01-03T19:58:37.609Z,176747031760900
"""Black @ eLlYR19TDN"" folds",2026-01-03T19:58:36.325Z,176747031632500
"""jho @ t3NhL8TnYz"" bets 12600",2026-01-03T19:58:32.199Z,176747031219900
"Flop:  [2♠, 10♣, 5♠]",2026-01-03T19:58:27.627Z,176747030762700
"""9292 @ xswHkyUXqL"" calls 5600",2026-01-03T19:58:26.803Z,176747030680300
"""Black @ eLlYR19TDN"" calls 5600",2026-01-03T19:58:25.120Z,176747030512000
"""jho @ t3NhL8TnYz"" raises to 5600",2026-01-03T19:58:19.312Z,176747029931200
"""Justin @ g0FfVCh6gI"" folds",2026-01-03T19:58:14.608Z,176747029460800
"""9292 @ xswHkyUXqL"" calls 800",2026-01-03T19:58:13.528Z,176747029352800
"""Black @ eLlYR19TDN"" posts a big blind of 800",2026-01-03T19:58:10.696Z,176747029069607
"""jho @ t3NhL8TnYz"" posts a small blind of 400",2026-01-03T19:58:10.696Z,176747029069606
"Your hand is A♥, J♣",2026-01-03T19:58:10.696Z,176747029069603
"Player stacks: #3 ""Justin @ g0FfVCh6gI"" (979388) | #7 ""jho @ t3NhL8TnYz"" (2194739) | #9 ""Black @ eLlYR19TDN"" (1488673) | #10 ""9292 @ xswHkyUXqL"" (1345900)",2026-01-03T19:58:10.696Z,176747029069601
"-- starting hand #1061 (id: le2jcpw9ox3i)  (No Limit Texas Hold'em) (dealer: ""Justin @ g0FfVCh6gI"") --",2026-01-03T19:58:10.696Z,176747029069600
"Undealt cards: J♦, 2♣, 7♠, 3♠ [K♣]",2026-01-03T19:58:07.697Z,176747028769700
"-- ending hand #1060 --",2026-01-03T19:58:04.780Z,176747028478002
"""Justin @ g0FfVCh6gI"" collected 12000 from pot",2026-01-03T19:58:04.780Z,176747028478001
"Uncalled bet of 12000 returned to ""Justin @ g0FfVCh6gI""",2026-01-03T19:58:04.780Z,176747028478000
"""jho @ t3NhL8TnYz"" folds",2026-01-03T19:58:03.967Z,176747028396700
"""Justin @ g0FfVCh6gI"" bets 12000",2026-01-03T19:58:01.949Z,176747028194900
"Turn: J♦, 2♣, 7♠ [3♠]",2026-01-03T19:57:59.444Z,176747027944400
"""jho @ t3NhL8TnYz"" calls 3600",2026-01-03T19:57:58.632Z,176747027863200
"""Justin @ g0FfVCh6gI"" bets 3600",2026-01-03T19:57:55.378Z,176747027537800
"Flop:  [J♦, 2♣, 7♠]",2026-01-03T19:57:52.167Z,176747027216700
"""jho @ t3NhL8TnYz"" calls 2400",2026-01-03T19:57:51.363Z,176747027136300
"""Justin @ g0FfVCh6gI"" raises to 2400",2026-01-03T19:57:50.049Z,176747027004900
"""9292 @ xswHkyUXqL"" folds",2026-01-03T19:57:46.340Z,176747026634000
"""Black @ eLlYR19TDN"" folds",2026-01-03T19:57:16.607Z,176747023660700
"""jho @ t3NhL8TnYz"" posts a big blind of 800",2026-01-03T19:57:14.090Z,176747023409007
"""Justin @ g0FfVCh6gI"" posts a small blind of 400",2026-01-03T19:57:14.090Z,176747023409006
"Your hand is 9♦, 8♦",2026-01-03T19:57:14.090Z,176747023409003
"Player stacks: #3 ""Justin @ g0FfVCh6gI"" (973388) | #7 ""jho @ t3NhL8TnYz"" (2200739) | #9 ""Black @ eLlYR19TDN"" (1488673) | #10 ""9292 @ xswHkyUXqL"" (1345900)",2026-01-03T19:57:14.090Z,176747023409001
"-- starting hand #1060 (id: 5vjyvsdlq0st)  (No Limit Texas Hold'em) (dealer: ""9292 @ xswHkyUXqL"") --",2026-01-03T19:57:14.090Z,176747023409000
"-- ending hand #1059 --",2026-01-03T19:57:11.176Z,176747023117602
"""9292 @ xswHkyUXqL"" collected 8400 from pot",2026-01-03T19:57:11.176Z,176747023117601
"Uncalled bet of 8400 returned to ""9292 @ xswHkyUXqL""",2026-01-03T19:57:11.176Z,176747023117600
"""jho @ t3NhL8TnYz"" folds",2026-01-03T19:57:10.315Z,176747023031500
"""Justin @ g0FfVCh6gI"" folds",2026-01-03T19:57:09.262Z,176747022926200
"""9292 @ xswHkyUXqL"" bets 8400",2026-01-03T19:57:02.456Z,176747022245600
"Flop:  [3♥, 7♠, 10♠]",2026-01-03T19:56:52.958Z,176747021295800
"""Justin @ g0FfVCh6gI"" calls 2800",2026-01-03T19:56:52.130Z,176747021213000
"""9292 @ xswHkyUXqL"" calls 2800",2026-01-03T19:56:49.646Z,176747020964600
"""Black @ eLlYR19TDN"" folds",2026-01-03T19:56:48.095Z,176747020809500
"""jho @ t3NhL8TnYz"" raises to 2800",2026-01-03T19:56:47.016Z,176747020701600
"""Justin @ g0FfVCh6gI"" posts a big blind of 800",2026-01-03T19:56:41.635Z,176747020163507
"""9292 @ xswHkyUXqL"" posts a small blind of 400",2026-01-03T19:56:41.635Z,176747020163506
"Your hand is 8♣, A♥",2026-01-03T19:56:41.635Z,176747020163503
"Player stacks: #3 ""Justin @ g0FfVCh6gI"" (976188) | #7 ""jho @ t3NhL8TnYz"" (2203539) | #9 ""Black @ eLlYR19TDN"" (1488673) | #10 ""9292 @ xswHkyUXqL"" (1340300)",2026-01-03T19:56:41.635Z,176747020163501
"-- starting hand #1059 (id: o8smi4t8tfxo)  (No Limit Texas Hold'em) (dealer: ""Black @ eLlYR19TDN"") --",2026-01-03T19:56:41.635Z,176747020163500
"-- ending hand #1058 --",2026-01-03T19:56:35.696Z,176747019569602
"""9292 @ xswHkyUXqL"" collected 800 from pot",2026-01-03T19:56:35.696Z,176747019569601
"Uncalled bet of 400 returned to ""9292 @ xswHkyUXqL""",2026-01-03T19:56:35.696Z,176747019569600
"""Black @ eLlYR19TDN"" folds",2026-01-03T19:56:34.861Z,176747019486100
"""jho @ t3NhL8TnYz"" folds",2026-01-03T19:56:19.144Z,176747017914400
"""Justin @ g0FfVCh6gI"" folds",2026-01-03T19:56:18.107Z,176747017810700
"""9292 @ xswHkyUXqL"" posts a big blind of 800",2026-01-03T19:56:13.520Z,176747017352007
"""Black @ eLlYR19TDN"" posts a small blind of 400",2026-01-03T19:56:13.520Z,176747017352006
"Your hand is 8♥, 2♠",2026-01-03T19:56:13.520Z,176747017352003
"Player stacks: #3 ""Justin @ g0FfVCh6gI"" (976188) | #7 ""jho @ t3NhL8TnYz"" (2203539) | #9 ""Black @ eLlYR19TDN"" (1489073) | #10 ""9292 @ xswHkyUXqL"" (1339900)",2026-01-03T19:56:13.520Z,176747017352001
"-- starting hand #1058 (id: 0hqscf4qudgp)  (No Limit Texas Hold'em) (dealer: ""jho @ t3NhL8TnYz"") --",2026-01-03T19:56:13.520Z,176747017352000
"-- ending hand #1057 --",2026-01-03T19:56:10.594Z,176747017059402
"""jho @ t3NhL8TnYz"" collected 6400 from pot",2026-01-03T19:56:10.594Z,176747017059401
"Uncalled bet of 4800 returned to ""jho @ t3NhL8TnYz""",2026-01-03T19:56:10.594Z,176747017059400
"""9292 @ xswHkyUXqL"" folds",2026-01-03T19:56:09.751Z,176747016975100
"""jho @ t3NhL8TnYz"" bets 4800",2026-01-03T19:56:08.419Z,176747016841900
"River: J♠, A♦, 2♥, 3♣ [4♣]",2026-01-03T19:56:04.384Z,176747016438400
"""9292 @ xswHkyUXqL"" checks",2026-01-03T19:56:03.548Z,176747016354800
"""jho @ t3NhL8TnYz"" checks",2026-01-03T19:56:01.827Z,176747016182700
"Turn: J♠, A♦, 2♥ [3♣]",2026-01-03T19:55:59.586Z,176747015958600
"""9292 @ xswHkyUXqL"" checks",2026-01-03T19:55:58.752Z,176747015875200
"""jho @ t3NhL8TnYz"" checks",2026-01-03T19:55:57.646Z,176747015764600
"Flop:  [J♠, A♦, 2♥]",2026-01-03T19:55:55.949Z,176747015594900
"""Black @ eLlYR19TDN"" folds",2026-01-03T19:55:55.123Z,176747015512300
"""jho @ t3NhL8TnYz"" calls 2800",2026-01-03T19:55:54.094Z,176747015409400
"""Justin @ g0FfVCh6gI"" folds",2026-01-03T19:55:52.355Z,176747015235500
"""9292 @ xswHkyUXqL"" raises to 2800",2026-01-03T19:55:51.276Z,176747015127600
"""Black @ eLlYR19TDN"" posts a big blind of 800",2026-01-03T19:55:41.256Z,176747014125607
"""jho @ t3NhL8TnYz"" posts a small blind of 400",2026-01-03T19:55:41.256Z,176747014125606
"Your hand is 5♣, Q♣",2026-01-03T19:55:41.256Z,176747014125603
"Player stacks: #3 ""Justin @ g0FfVCh6gI"" (976188) | #7 ""jho @ t3NhL8TnYz"" (2199939) | #9 ""Black @ eLlYR19TDN"" (1489873) | #10 ""9292 @ xswHkyUXqL"" (1342700)",2026-01-03T19:55:41.256Z,176747014125601
"-- starting hand #1057 (id: nlokfx19zhz0)  (No Limit Texas Hold'em) (dealer: ""Justin @ g0FfVCh6gI"") --",2026-01-03T19:55:41.256Z,176747014125600
"-- ending hand #1056 --",2026-01-03T19:55:35.338Z,176747013533802
"""Justin @ g0FfVCh6gI"" collected 9600 from pot",2026-01-03T19:55:35.338Z,176747013533801
"Uncalled bet of 7200 returned to ""Justin @ g0FfVCh6gI""",2026-01-03T19:55:35.338Z,176747013533800
"""Black @ eLlYR19TDN"" folds",2026-01-03T19:55:34.483Z,176747013448300
"""jho @ t3NhL8TnYz"" folds",2026-01-03T19:55:33.380Z,176747013338000
"""Justin @ g0FfVCh6gI"" bets 7200",2026-01-03T19:55:32.160Z,176747013216000
"Flop:  [J♠, 7♠, 3♣]",2026-01-03T19:55:28.128Z,176747012812800
"""Black @ eLlYR19TDN"" calls 3200",2026-01-03T19:55:27.290Z,176747012729000
"""jho @ t3NhL8TnYz"" calls 3200",2026-01-03T19:55:25.899Z,176747012589900
"""Justin @ g0FfVCh6gI"" raises to 3200",2026-01-03T19:55:24.401Z,176747012440100
"""9292 @ xswHkyUXqL"" folds",2026-01-03T19:55:21.765Z,176747012176500
"""Black @ eLlYR19TDN"" calls 800",2026-01-03T19:55:18.451Z,176747011845100
"""jho @ t3NhL8TnYz"" posts a big blind of 800",2026-01-03T19:55:16.553Z,176747011655307
"""Justin @ g0FfVCh6gI"" posts a small blind of 400",2026-01-03T19:55:16.553Z,176747011655306
"Your hand is 10♣, A♦",2026-01-03T19:55:16.553Z,176747011655303
"Player stacks: #3 ""Justin @ g0FfVCh6gI"" (969788) | #7 ""jho @ t3NhL8TnYz"" (2203139) | #9 ""Black @ eLlYR19TDN"" (1493073) | #10 ""9292 @ xswHkyUXqL"" (1342700)",2026-01-03T19:55:16.553Z,176747011655301
"-- starting hand #1056 (id: zbsgqdbfq9kh)  (No Limit Texas Hold'em) (dealer: ""9292 @ xswHkyUXqL"") --",2026-01-03T19:55:16.553Z,176747011655300
"-- ending hand #1055 --",2026-01-03T19:55:10.649Z,176747011064902
"""9292 @ xswHkyUXqL"" collected 4800 from pot",2026-01-03T19:55:10.649Z,176747011064901
"Uncalled bet of 3600 returned to ""9292 @ xswHkyUXqL""",2026-01-03T19:55:10.649Z,176747011064900
"""Justin @ g0FfVCh6gI"" folds",2026-01-03T19:55:09.841Z,176747010984100
"""9292 @ xswHkyUXqL"" bets 3600",2026-01-03T19:55:08.556Z,176747010855600
"Flop:  [8♦, A♥, 2♠]",2026-01-03T19:54:56.447Z,176747009644700
"""Justin @ g0FfVCh6gI"" calls 2400",2026-01-03T19:54:55.618Z,176747009561800
"""9292 @ xswHkyUXqL"" raises to 2400",2026-01-03T19:54:54.128Z,176747009412800
"""Black @ eLlYR19TDN"" folds",2026-01-03T19:54:45.215Z,176747008521500
"""jho @ t3NhL8TnYz"" folds",2026-01-03T19:54:44.048Z,176747008404800
"""Justin @ g0FfVCh6gI"" posts a big blind of 800",2026-01-03T19:54:41.945Z,176747008194507
"""9292 @ xswHkyUXqL"" posts a small blind of 400",2026-01-03T19:54:41.945Z,176747008194506
"Your hand is 7♣, 4♦",2026-01-03T19:54:41.945Z,176747008194503
"Player stacks: #3 ""Justin @ g0FfVCh6gI"" (972188) | #7 ""jho @ t3NhL8TnYz"" (2203139) | #9 ""Black @ eLlYR19TDN"" (1493073) | #10 ""9292 @ xswHkyUXqL"" (1340300)",2026-01-03T19:54:41.945Z,176747008194501
"-- starting hand #1055 (id: oai0hylvary8)  (No Limit Texas Hold'em) (dealer: ""Black @ eLlYR19TDN"") --",2026-01-03T19:54:41.945Z,176747008194500
"-- ending hand #1054 --",2026-01-03T19:54:39.041Z,176747007904102
"""jho @ t3NhL8TnYz"" collected 8400 from pot",2026-01-03T19:54:39.041Z,176747007904101
"Uncalled bet of 6300 returned to ""jho @ t3NhL8TnYz""",2026-01-03T19:54:39.041Z,176747007904100
"""9292 @ xswHkyUXqL"" folds",2026-01-03T19:54:38.225Z,176747007822500
"""Black @ eLlYR19TDN"" folds",2026-01-03T19:54:36.899Z,176747007689900
"""jho @ t3NhL8TnYz"" bets 6300",2026-01-03T19:54:35.380Z,176747007538000
"""9292 @ xswHkyUXqL"" checks",2026-01-03T19:54:28.808Z,176747006880800
"""Black @ eLlYR19TDN"" checks",2026-01-03T19:54:26.763Z,176747006676300
"Turn: 8♣, 9♦, 4♥ [8♥]",2026-01-03T19:54:24.632Z,176747006463200
"""jho @ t3NhL8TnYz"" checks",2026-01-03T19:54:23.814Z,176747006381400
"""9292 @ xswHkyUXqL"" checks",2026-01-03T19:54:21.668Z,176747006166800
"""Black @ eLlYR19TDN"" checks",2026-01-03T19:54:18.831Z,176747005883100
"Flop:  [8♣, 9♦, 4♥]",2026-01-03T19:54:14.775Z,176747005477500
"""9292 @ xswHkyUXqL"" calls 2800",2026-01-03T19:54:13.911Z,176747005391100
"""Black @ eLlYR19TDN"" calls 2800",2026-01-03T19:54:12.529Z,176747005252900
"""jho @ t3NhL8TnYz"" raises to 2800",2026-01-03T19:54:10.162Z,176747005016200
"""Justin @ g0FfVCh6gI"" folds",2026-01-03T19:54:06.316Z,176747004631600
"""9292 @ xswHkyUXqL"" posts a big blind of 800",2026-01-03T19:54:04.874Z,176747004487407
"""Black @ eLlYR19TDN"" posts a small blind of 400",2026-01-03T19:54:04.874Z,176747004487406
"Your hand is K♦, 5♦",2026-01-03T19:54:04.874Z,176747004487403
"Player stacks: #3 ""Justin @ g0FfVCh6gI"" (972188) | #7 ""jho @ t3NhL8TnYz"" (2197539) | #9 ""Black @ eLlYR19TDN"" (1495873) | #10 ""9292 @ xswHkyUXqL"" (1343100)",2026-01-03T19:54:04.874Z,176747004487401
"-- starting hand #1054 (id: olmzzfrwqqic)  (No Limit Texas Hold'em) (dealer: ""jho @ t3NhL8TnYz"") --",2026-01-03T19:54:04.874Z,176747004487400
"-- ending hand #1053 --",2026-01-03T19:54:01.965Z,176747004196502
"""Black @ eLlYR19TDN"" collected 9600 from pot",2026-01-03T19:54:01.965Z,176747004196501
"Uncalled bet of 9600 returned to ""Black @ eLlYR19TDN""",2026-01-03T19:54:01.965Z,176747004196500
"""jho @ t3NhL8TnYz"" folds",2026-01-03T19:54:01.150Z,176747004115000
"""9292 @ xswHkyUXqL"" folds",2026-01-03T19:53:58.483Z,176747003848300
"""Black @ eLlYR19TDN"" bets 9600",2026-01-03T19:53:56.503Z,176747003650300
"""jho @ t3NhL8TnYz"" checks",2026-01-03T19:53:52.409Z,176747003240900
"Flop:  [3♦, Q♥, 9♠]",2026-01-03T19:53:50.468Z,176747003046800
"""9292 @ xswHkyUXqL"" calls 3200",2026-01-03T19:53:49.653Z,176747002965300
"""Black @ eLlYR19TDN"" calls 3200",2026-01-03T19:53:48.606Z,176747002860600
"""jho @ t3NhL8TnYz"" raises to 3200",2026-01-03T19:53:46.934Z,176747002693400
"""Justin @ g0FfVCh6gI"" folds",2026-01-03T19:53:44.267Z,176747002426700
