entry,at,order
"The player ""Justin @ g0FfVCh6gI"" stand up with the stack of 1027739.",2025-12-30T19:10:41.433Z,176712184143300
-- ending hand #1499 --,2025-12-30T19:10:35.429Z,176712183542903
"""Justin @ g0FfVCh6gI"" collected 36000 from pot with Full House, K's over J's (combination: K♣, K♠, K♥, J♣, J♠)",2025-12-30T19:10:35.429Z,176712183542902
"""Justin @ g0FfVCh6gI"" shows a K♣, 7♥.",2025-12-30T19:10:35.429Z,176712183542901
"""Z9z9 @ xswHkyUXqL"" shows a 3♥, J♥.",2025-12-30T19:10:35.429Z,176712183542900
"""Z9z9 @ xswHkyUXqL"" checks",2025-12-30T19:10:34.608Z,176712183460800
"""Justin @ g0FfVCh6gI"" checks",2025-12-30T19:10:33.230Z,176712183323000
"River: J♣, 10♣, K♠, K♥ [J♠]",2025-12-30T19:10:27.420Z,176712182742000
"""Justin @ g0FfVCh6gI"" calls 10800",2025-12-30T19:10:26.609Z,176712182660900
"""Z9z9 @ xswHkyUXqL"" bets 10800",2025-12-30T19:10:22.218Z,176712182221800
"The admin ""Z9z9 @ xswHkyUXqL"" enqueued the game stop on next hand.",2025-12-30T19:10:17.420Z,176712181742000
"""Justin @ g0FfVCh6gI"" checks",2025-12-30T19:10:17.361Z,176712181736100
"Turn: J♣, 10♣, K♠ [K♥]",2025-12-30T19:10:16.015Z,176712181601500
"""Justin @ g0FfVCh6gI"" calls 4800",2025-12-30T19:10:15.160Z,176712181516000
"""Z9z9 @ xswHkyUXqL"" bets 4800",2025-12-30T19:10:12.415Z,176712181241500
"""Justin @ g0FfVCh6gI"" checks",2025-12-30T19:10:06.671Z,176712180667100
"Flop:  [J♣, 10♣, K♠]",2025-12-30T19:10:04.806Z,176712180480600
"""Justin @ g0FfVCh6gI"" calls 2400",2025-12-30T19:10:03.978Z,176712180397800
"""Z9z9 @ xswHkyUXqL"" raises to 2400",2025-12-30T19:09:59.497Z,176712179949700
"""Justin @ g0FfVCh6gI"" posts a big blind of 800",2025-12-30T19:09:57.094Z,176712179709405
"""Z9z9 @ xswHkyUXqL"" posts a small blind of 400",2025-12-30T19:09:57.094Z,176712179709404
"Player stacks: #9 ""Justin @ g0FfVCh6gI"" (1009739) | #10 ""Z9z9 @ xswHkyUXqL"" (1342650)",2025-12-30T19:09:57.094Z,176712179709401
"-- starting hand #1499 (id: h5a6qlslj8qw)  (No Limit Texas Hold'em) (dealer: ""Z9z9 @ xswHkyUXqL"") --",2025-12-30T19:09:57.094Z,176712179709400
-- ending hand #1498 --,2025-12-30T19:09:54.164Z,176712179416402
"""Justin @ g0FfVCh6gI"" collected 1600 from pot",2025-12-30T19:09:54.164Z,176712179416401
"Uncalled bet of 2400 returned to ""Justin @ g0FfVCh6gI""",2025-12-30T19:09:54.164Z,176712179416400
"""Z9z9 @ xswHkyUXqL"" folds",2025-12-30T19:09:53.303Z,176712179330300
"""Justin @ g0FfVCh6gI"" raises to 3200",2025-12-30T19:09:51.831Z,176712179183100
"""Z9z9 @ xswHkyUXqL"" posts a big blind of 800",2025-12-30T19:09:48.687Z,176712178868705
"""Justin @ g0FfVCh6gI"" posts a small blind of 400",2025-12-30T19:09:48.687Z,176712178868704
"Player stacks: #9 ""Justin @ g0FfVCh6gI"" (1008939) | #10 ""Z9z9 @ xswHkyUXqL"" (1343450)",2025-12-30T19:09:48.687Z,176712178868701
"-- starting hand #1498 (id: mxagnjmznr2i)  (No Limit Texas Hold'em) (dealer: ""Justin @ g0FfVCh6gI"") --",2025-12-30T19:09:48.687Z,176712178868700
-- ending hand #1497 --,2025-12-30T19:09:45.755Z,176712178575502
"""Justin @ g0FfVCh6gI"" collected 800 from pot",2025-12-30T19:09:45.755Z,176712178575501
"Uncalled bet of 400 returned to ""Justin @ g0FfVCh6gI""",2025-12-30T19:09:45.755Z,176712178575500
"""Z9z9 @ xswHkyUXqL"" folds",2025-12-30T19:09:44.933Z,176712178493300
"""Justin @ g0FfVCh6gI"" posts a big blind of 800",2025-12-30T19:09:42.754Z,176712178275405
"""Z9z9 @ xswHkyUXqL"" posts a small blind of 400",2025-12-30T19:09:42.754Z,176712178275404
"Player stacks: #9 ""Justin @ g0FfVCh6gI"" (1008539) | #10 ""Z9z9 @ xswHkyUXqL"" (1343850)",2025-12-30T19:09:42.754Z,176712178275401
"-- starting hand #1497 (id: qf25csjgp84w)  (No Limit Texas Hold'em) (dealer: ""Z9z9 @ xswHkyUXqL"") --",2025-12-30T19:09:42.754Z,176712178275400
