entry,at,order
"The player ""O9O9 @ xswHkyUXqL"" sit back with the stack of 140750.",2026-01-01T19:11:10.119Z,176729467011900
"The player ""black @ e2LT3dd3Tx"" stand up with the stack of 188000.",2025-12-31T11:52:18.507Z,176718193850700
"The player ""black @ e2LT3dd3Tx"" passed the room ownership to ""O9O9 @ xswHkyUXqL"".",2025-12-31T11:52:16.328Z,176718193632800
"The player ""zxc @ uaMcxyz0Rj"" stand up with the stack of 85600.",2025-12-31T11:52:06.798Z,176718192679800
-- ending hand #175 --,2025-12-31T11:52:03.832Z,176718192383202
"""black @ e2LT3dd3Tx"" collected 2400 from pot",2025-12-31T11:52:03.832Z,176718192383201
"Uncalled bet of 2400 returned to ""black @ e2LT3dd3Tx""",2025-12-31T11:52:03.832Z,176718192383200
"""zxc @ uaMcxyz0Rj"" folds",2025-12-31T11:52:03.026Z,176718192302600
"""black @ e2LT3dd3Tx"" bets 2400",2025-12-31T11:52:01.534Z,176718192153400
"""zxc @ uaMcxyz0Rj"" checks",2025-12-31T11:51:59.485Z,176718191948500
"Turn: 8♦, J♦, 7♦ [A♦]",2025-12-31T11:51:58.078Z,176718191807800
"""zxc @ uaMcxyz0Rj"" calls 800",2025-12-31T11:51:57.236Z,176718191723600
"""black @ e2LT3dd3Tx"" bets 800",2025-12-31T11:51:55.687Z,176718191568700
"""zxc @ uaMcxyz0Rj"" checks",2025-12-31T11:51:51.238Z,176718191123800
"Flop:  [8♦, J♦, 7♦]",2025-12-31T11:51:49.954Z,176718190995400
"""zxc @ uaMcxyz0Rj"" checks",2025-12-31T11:51:49.108Z,176718190910800
"""black @ e2LT3dd3Tx"" calls 400",2025-12-31T11:51:38.790Z,176718189879000
"""zxc @ uaMcxyz0Rj"" posts a big blind of 400",2025-12-31T11:51:37.349Z,176718189734905
"""black @ e2LT3dd3Tx"" posts a small blind of 200",2025-12-31T11:51:37.349Z,176718189734904
"Player stacks: #2 ""black @ e2LT3dd3Tx"" (186800) | #3 ""zxc @ uaMcxyz0Rj"" (86800)",2025-12-31T11:51:37.349Z,176718189734901
"-- starting hand #175 (id: uafljtvolysw)  (No Limit Texas Hold'em) (dealer: ""black @ e2LT3dd3Tx"") --",2025-12-31T11:51:37.349Z,176718189734900
-- ending hand #174 --,2025-12-31T11:51:34.428Z,176718189442802
"""black @ e2LT3dd3Tx"" collected 400 from pot",2025-12-31T11:51:34.428Z,176718189442801
"Uncalled bet of 200 returned to ""black @ e2LT3dd3Tx""",2025-12-31T11:51:34.428Z,176718189442800
"""zxc @ uaMcxyz0Rj"" folds",2025-12-31T11:51:33.578Z,176718189357800
"""black @ e2LT3dd3Tx"" posts a big blind of 400",2025-12-31T11:51:32.260Z,176718189226005
"""zxc @ uaMcxyz0Rj"" posts a small blind of 200",2025-12-31T11:51:32.260Z,176718189226004
"Player stacks: #2 ""black @ e2LT3dd3Tx"" (186600) | #3 ""zxc @ uaMcxyz0Rj"" (87000)",2025-12-31T11:51:32.260Z,176718189226001
"-- starting hand #174 (id: l668c1zbtnue)  (No Limit Texas Hold'em) (dealer: ""zxc @ uaMcxyz0Rj"") --",2025-12-31T11:51:32.260Z,176718189226000
-- ending hand #173 --,2025-12-31T11:51:29.349Z,176718188934902
"""black @ e2LT3dd3Tx"" collected 800 from pot",2025-12-31T11:51:29.349Z,176718188934901
"Uncalled bet of 800 returned to ""black @ e2LT3dd3Tx""",2025-12-31T11:51:29.349Z,176718188934900
"""zxc @ uaMcxyz0Rj"" folds",2025-12-31T11:51:28.529Z,176718188852900
"""black @ e2LT3dd3Tx"" raises to 1200",2025-12-31T11:51:27.402Z,176718188740200
"""zxc @ uaMcxyz0Rj"" posts a big blind of 400",2025-12-31T11:51:25.656Z,176718188565605
"""black @ e2LT3dd3Tx"" posts a small blind of 200",2025-12-31T11:51:25.656Z,176718188565604
"Player stacks: #2 ""black @ e2LT3dd3Tx"" (186200) | #3 ""zxc @ uaMcxyz0Rj"" (87400)",2025-12-31T11:51:25.656Z,176718188565601
"-- starting hand #173 (id: b6uuzptloqh7)  (No Limit Texas Hold'em) (dealer: ""black @ e2LT3dd3Tx"") --",2025-12-31T11:51:25.656Z,176718188565600
-- ending hand #172 --,2025-12-31T11:51:22.745Z,176718188274502
"""black @ e2LT3dd3Tx"" collected 2400 from pot",2025-12-31T11:51:22.745Z,176718188274501
"Uncalled bet of 2400 returned to ""black @ e2LT3dd3Tx""",2025-12-31T11:51:22.745Z,176718188274500
"""zxc @ uaMcxyz0Rj"" folds",2025-12-31T11:51:21.919Z,176718188191900
"""black @ e2LT3dd3Tx"" bets 2400",2025-12-31T11:51:20.231Z,176718188023100
"Turn: K♥, 5♠, A♣ [6♦]",2025-12-31T11:51:17.937Z,176718187793700
"""zxc @ uaMcxyz0Rj"" checks",2025-12-31T11:51:17.131Z,176718187713100
"""black @ e2LT3dd3Tx"" checks",2025-12-31T11:51:15.794Z,176718187579400
"Flop:  [K♥, 5♠, A♣]",2025-12-31T11:51:13.397Z,176718187339700
"""black @ e2LT3dd3Tx"" calls 1200",2025-12-31T11:51:12.550Z,176718187255000
"""zxc @ uaMcxyz0Rj"" raises to 1200",2025-12-31T11:51:11.315Z,176718187131500
"""black @ e2LT3dd3Tx"" posts a big blind of 400",2025-12-31T11:51:09.195Z,176718186919505
"""zxc @ uaMcxyz0Rj"" posts a small blind of 200",2025-12-31T11:51:09.195Z,176718186919504
"Player stacks: #2 ""black @ e2LT3dd3Tx"" (185000) | #3 ""zxc @ uaMcxyz0Rj"" (88600)",2025-12-31T11:51:09.195Z,176718186919501
"-- starting hand #172 (id: dxe8kqrr1fti)  (No Limit Texas Hold'em) (dealer: ""zxc @ uaMcxyz0Rj"") --",2025-12-31T11:51:09.195Z,176718186919500
-- ending hand #171 --,2025-12-31T11:51:06.246Z,176718186624602
"""zxc @ uaMcxyz0Rj"" collected 4800 from pot",2025-12-31T11:51:06.246Z,176718186624601
"Uncalled bet of 3600 returned to ""zxc @ uaMcxyz0Rj""",2025-12-31T11:51:06.246Z,176718186624600
"""black @ e2LT3dd3Tx"" folds",2025-12-31T11:51:05.442Z,176718186544200
"""zxc @ uaMcxyz0Rj"" bets 3600",2025-12-31T11:51:00.630Z,176718186063000
"River: 2♠, 2♥, A♥, 7♦ [3♥]",2025-12-31T11:50:56.812Z,176718185681200
"""black @ e2LT3dd3Tx"" checks",2025-12-31T11:50:56.005Z,176718185600500
"""zxc @ uaMcxyz0Rj"" checks",2025-12-31T11:50:54.190Z,176718185419000
"Turn: 2♠, 2♥, A♥ [7♦]",2025-12-31T11:50:52.465Z,176718185246500
"""zxc @ uaMcxyz0Rj"" calls 1200",2025-12-31T11:50:51.610Z,176718185161000
"""black @ e2LT3dd3Tx"" bets 1200",2025-12-31T11:50:49.457Z,176718184945700
"""zxc @ uaMcxyz0Rj"" checks",2025-12-31T11:50:46.971Z,176718184697100
"Flop:  [2♠, 2♥, A♥]",2025-12-31T11:50:45.399Z,176718184539900
"""zxc @ uaMcxyz0Rj"" calls 1200",2025-12-31T11:50:44.561Z,176718184456100
"""black @ e2LT3dd3Tx"" raises to 1200",2025-12-31T11:50:42.954Z,176718184295400
"""zxc @ uaMcxyz0Rj"" posts a big blind of 400",2025-12-31T11:50:40.156Z,176718184015605
"""black @ e2LT3dd3Tx"" posts a small blind of 200",2025-12-31T11:50:40.156Z,176718184015604
"Player stacks: #2 ""black @ e2LT3dd3Tx"" (187400) | #3 ""zxc @ uaMcxyz0Rj"" (86200)",2025-12-31T11:50:40.156Z,176718184015601
"-- starting hand #171 (id: rxzz3uf0lfbp)  (No Limit Texas Hold'em) (dealer: ""black @ e2LT3dd3Tx"") --",2025-12-31T11:50:40.156Z,176718184015600
-- ending hand #170 --,2025-12-31T11:50:37.195Z,176718183719502
"""zxc @ uaMcxyz0Rj"" collected 6000 from pot",2025-12-31T11:50:37.195Z,176718183719501
"Uncalled bet of 6000 returned to ""zxc @ uaMcxyz0Rj""",2025-12-31T11:50:37.195Z,176718183719500
"""black @ e2LT3dd3Tx"" folds",2025-12-31T11:50:36.387Z,176718183638700
"""zxc @ uaMcxyz0Rj"" bets 6000",2025-12-31T11:50:34.599Z,176718183459900
"""black @ e2LT3dd3Tx"" checks",2025-12-31T11:50:30.801Z,176718183080100
"River: J♠, 2♦, 3♣, 6♦ [K♠]",2025-12-31T11:50:27.141Z,176718182714100
"""black @ e2LT3dd3Tx"" calls 1800",2025-12-31T11:50:26.332Z,176718182633200
"""zxc @ uaMcxyz0Rj"" bets 1800",2025-12-31T11:50:23.349Z,176718182334900
"""black @ e2LT3dd3Tx"" checks",2025-12-31T11:50:20.164Z,176718182016400
"Turn: J♠, 2♦, 3♣ [6♦]",2025-12-31T11:50:17.934Z,176718181793400
"""zxc @ uaMcxyz0Rj"" checks",2025-12-31T11:50:17.130Z,176718181713000
"""black @ e2LT3dd3Tx"" checks",2025-12-31T11:50:14.840Z,176718181484000
"Flop:  [J♠, 2♦, 3♣]",2025-12-31T11:50:13.125Z,176718181312500
"""black @ e2LT3dd3Tx"" calls 1200",2025-12-31T11:50:12.300Z,176718181230000
"""zxc @ uaMcxyz0Rj"" raises to 1200",2025-12-31T11:50:10.079Z,176718181007900
"""black @ e2LT3dd3Tx"" posts a big blind of 400",2025-12-31T11:50:07.982Z,176718180798205
"""zxc @ uaMcxyz0Rj"" posts a small blind of 200",2025-12-31T11:50:07.982Z,176718180798204
